CustomerID,CustomerName,Gender,Age,Email,PhoneNumber,Region
C0001,Anthony Stein,Male,28,briangutierrez@kennedy.net,(677)345-4019,North Central
C0002,Parker Jefferson,Female,43,robertmonroe@osborn.info,(400)499-1547,South East
C0003,Kimberly Snyder DVM,Female,52,james15@gmail.com,001-742-054-9329x6685,North West
C0004,Michael Lopez,Female,52,pmorris@green.info,001-454-990-4530x17426,North Central
C0005,Tammy Barron,Female,62,fowlershelia@yahoo.com,+1-332-727-9568x783,South East
C0006,Melanie Larson,Female,24,xrice@stark.com,+1-839-822-5871,North Central
C0007,Michelle Burns,Male,18,chavezwilliam@yahoo.com,001-087-406-4039,North Central
C0008,Jeff Graves,Male,21,andersenthomas@ortiz-mack.biz,(676)618-2512x868,South South
C0009,William Davenport,Male,27,steven86@gray.com,310-690-3311x907,South West
C0010,Michele Williams,Female,49,igonzales@webster.com,439.599.5342x83644,South East
C0011,Travis Hobbs,Female,45,dpeters@david-powers.net,662-462-8733x42708,North West
C0012,Jason Moreno,Female,39,jonathanrivera@gmail.com,518.304.6990x139,South South
C0013,Kristin Mendoza,Female,45,susan03@gmail.com,001-173-936-3854x6785,South South
C0014,Ian Andrade,Male,65,langjennifer@yahoo.com,556.093.2048,South East
C0015,Lauren Butler,Female,57,markjames@porter.com,777-252-2872x808,South West
C0016,Ryan Landry,Male,59,gutierrezmegan@jones.com,875.099.7700,North West
C0017,Jennifer Smith,Female,19,andre62@gmail.com,823-398-4546,South West
C0018,Tyler Stevens,Female,45,kevinclayton@valdez.com,666-870-0217,South East
C0019,Maria Rivera,Female,23,hallrachel@clay.com,+1-489-025-0392x61429,South West
C0020,Ruben Price,Male,36,icampos@hotmail.com,001-185-016-3159x9965,South East
C0021,Donald Riddle,Female,27,michaelpugh@yahoo.com,(961)943-1142,South South
C0022,Richard Moore,Female,30,michael10@yahoo.com,541.212.6788x861,South South
C0023,Hector Davis,Male,23,asmith@yahoo.com,001-183-982-6224x44721,North West
C0024,Donald Evans,Male,45,johnathan37@jensen.com,(596)575-6924x5937,South East
C0025,Vincent Novak,Male,61,yfaulkner@gmail.com,646-519-3982x80737,South South
C0026,Sandra Jones,Female,65,ttaylor@gmail.com,266-179-7968x868,North West
C0027,Warren Miles,Female,46,mackdiane@jackson-salazar.org,+1-656-101-4388x8993,North West
C0028,James Barton,Male,35,whitney71@perry-nixon.com,001-254-573-8757x1775,North West
C0029,Andrew Page,Female,25,deborah23@thompson.info,622.660.9379,South West
C0030,Aaron Lewis,Male,45,raylauren@hotmail.com,(553)714-7859,North West
C0031,James Wilson,Female,42,rwilliamson@hotmail.com,991-251-3412x5286,South East
C0032,Chad Reyes,Male,45,sreid@arias.com,(257)905-0723,South West
C0033,Tracey Wagner,Male,40,acohen@hotmail.com,721.903.4043x842,South South
C0034,Krystal Barton,Female,47,armstrongjoseph@hotmail.com,(807)836-1340x745,North Central
C0035,Angie Grimes,Male,58,jasonrojas@bell.com,+1-233-095-8498x254,South South
C0036,Derek Hodge,Female,62,sydneyfloyd@riddle.com,001-232-536-7294x667,South South
C0037,Robert Mack,Female,50,heather57@yahoo.com,901-751-8636x37454,South South
C0038,Kenneth Knight,Female,46,patricia00@gmail.com,+1-701-277-0632x4241,South South
C0039,Danielle Watson,Female,64,sanderskevin@fischer.com,3712938700,South South
C0040,Ruth Mcneil,Female,46,timperez@gmail.com,001-115-542-6221x8909,North Central
C0041,Jessica Bowen,Female,23,cjensen@miller.com,001-196-565-2341x38999,North West
C0042,Todd Johnson,Female,64,aprilhicks@hotmail.com,(403)761-3791x8055,North Central
C0043,Scott Carroll,Male,56,kathrynbest@gmail.com,9104300684,North Central
C0044,Kathryn Perry,Male,56,davidsonamanda@gmail.com,141-832-8569x146,South South
C0045,Sarah Brown,Male,55,nwilson@brown.com,020-275-8842,South South
C0046,Paul Marks,Female,22,rogersruben@brown.com,785.079.2524x1913,North Central
C0047,April Trevino,Female,36,brandoncox@white.net,001-635-365-4195x180,North West
C0048,Robert Jarvis,Male,33,wileymichelle@yahoo.com,187-053-4949x37597,South East
C0049,Dr. Morgan Payne PhD,Female,24,randolphandrew@reed.com,6413836702,North West
C0050,Anna Morse,Male,32,stephen19@gmail.com,261.990.6234x45655,North West
C0051,David Harding,Male,44,moorefrank@edwards-martinez.com,001-374-741-1249x03521,South East
C0052,Tracy Foster,Female,55,jorge20@bond-hawkins.net,171.210.0323,South West
C0053,Jacqueline Mccoy,Female,30,samantha10@gonzalez.info,(151)070-2966,South South
C0054,James Simmons MD,Male,51,joshua20@harvey.biz,+1-701-462-6383,North West
C0055,Rebekah Norton,Female,21,timothy75@hotmail.com,564.205.9304x07859,North West
C0056,Dr. Ariel Sandoval MD,Male,20,barbaramcgrath@kelly-combs.com,(395)590-5992,North West
C0057,Chelsea Travis,Female,43,gregory01@gmail.com,930.870.5932,South South
C0058,Christopher Lang,Male,28,johnsonbrenda@gmail.com,001-185-156-9154x52267,South West
C0059,Carrie Novak,Female,28,elizabetholsen@yahoo.com,422-096-9029x5939,South West
C0060,Jon Rivera,Female,23,michaelflores@mcclure.com,043.315.4100x676,North Central
C0061,Stacey Snyder,Female,54,amy17@hotmail.com,+1-327-104-0541x1526,South South
C0062,Benjamin Mcmahon,Male,27,brooke97@johnson.biz,(015)336-8844,North Central
C0063,Brendan Long,Female,57,briansmith@gmail.com,973-103-2417x1467,North Central
C0064,Matthew Davis MD,Female,56,nicole52@williams-gonzales.com,490.211.5869,South East
C0065,Antonio Hughes,Female,45,parmstrong@yahoo.com,160-898-9921x7223,South South
C0066,Beth Henderson,Female,42,wendyburton@hotmail.com,511-686-8548x709,South East
C0067,Rachael Rodriguez,Male,45,ashleyaguilar@buckley.com,856-467-9970x2462,South East
C0068,Melanie Morales,Male,29,hannah07@yahoo.com,(054)447-1324x754,South East
C0069,Lisa Davis,Female,41,robinrussell@yahoo.com,001-850-821-4862x89023,North West
C0070,Christina Brown,Female,21,xwilliams@gonzalez.biz,+1-103-579-7279x8552,North West
C0071,Deanna Rivas,Male,28,anthony02@chan.com,+1-346-800-7229x03494,South South
C0072,Michelle Hill,Male,21,stephen37@yahoo.com,+1-896-910-8589x94417,North West
C0073,William Davidson,Male,24,diana43@gmail.com,309.652.0744x66609,North West
C0074,Laura Lee,Female,29,qknox@romero-bruce.net,(417)248-2513,South South
C0075,Patrick Parker,Male,43,jorge47@gmail.com,099.917.3816x8460,North West
C0076,Brittany Gay,Female,22,dbenitez@gmail.com,217-525-0074x32927,South South
C0077,Penny Anderson,Male,49,epowell@yahoo.com,0835058300,South East
C0078,Danielle Steele,Male,43,david68@hotmail.com,210-447-8985x6257,North Central
C0079,Colin Vaughan,Female,20,perezjessica@gmail.com,098.215.0648,South East
C0080,Linda Williams,Male,55,williamsdarrell@james-kelley.info,001-230-461-8499x261,North Central
C0081,Lisa Campbell,Male,50,mgonzalez@decker-dudley.com,001-642-087-3753x001,North Central
C0082,Sara Caldwell,Male,43,chancharles@garcia.com,701-204-5561x100,South West
C0083,Mary Jackson,Male,24,rfriedman@hotmail.com,552-166-7467,North Central
C0084,Mariah Robles,Female,64,heatherbrown@garcia.info,001-729-659-0277,South South
C0085,Jason Williams,Male,40,alexander89@hotmail.com,001-358-891-6375,North West
C0086,Margaret Hernandez,Female,56,schneidereric@christian-booth.com,001-753-540-8386x63177,South East
C0087,Joan Gates,Female,18,david70@gmail.com,(608)801-9948x8375,South East
C0088,Anthony Walker,Female,62,ann99@yahoo.com,001-571-130-5548x851,South East
C0089,Christopher Taylor,Male,50,kingjames@gmail.com,(373)516-0917x7982,North Central
C0090,April Fitzgerald,Male,54,xglass@gmail.com,001-922-169-9586x693,North Central
C0091,Victor Waller,Male,36,devonmorrison@hotmail.com,485.833.3945x22885,South South
C0092,Paige Hart,Male,30,natalie60@hotmail.com,062-003-4244,North West
C0093,Antonio Mueller,Male,22,howardshaun@parrish.net,(384)066-6580x0439,North Central
C0094,Shannon Ramos,Male,19,kari89@parsons.com,212.281.6064x842,North Central
C0095,Ryan Smith,Female,29,billmcfarland@hotmail.com,9479851583,South West
C0096,Kelly Hartman,Female,38,zdaniels@bailey.com,543-987-8015x73993,North Central
C0097,Melanie Flores,Male,19,uscott@johnson-black.com,877.043.5811x28801,South East
C0098,Mark Lewis,Male,36,harrismaria@hotmail.com,001-612-075-0110x24819,South East
C0099,Susan Russell,Male,33,bhamilton@yahoo.com,+1-180-919-0158x14491,North Central
C0100,Timothy James,Female,53,omoore@francis.com,+1-245-088-2100x9968,South West
C0101,Angela Clark,Male,18,robertbrewer@hotmail.com,(223)943-1290,South West
C0102,Tara Gamble,Male,21,robertscarlos@gmail.com,975.523.1491,South East
C0103,Emily Hayes,Male,62,arianadiaz@yahoo.com,(205)336-4525x77754,North Central
C0104,Mr. Matthew Miller,Male,18,patriciagonzalez@hotmail.com,+1-110-809-9693x0848,North Central
C0105,Kimberly Valdez,Male,57,philip94@marshall.com,(580)392-8272x2992,North Central
C0106,Karen Howard,Male,53,qhall@young-barnett.net,(677)005-1844x989,South East
C0107,Matthew Diaz,Male,62,nicholas38@gomez-parrish.info,908.272.3184x3222,North Central
C0108,Mitchell Wilson,Female,47,ushepherd@olson.info,926.030.2992,South South
C0109,Jose Macdonald,Male,20,jacksonsandra@mullen.com,001-413-797-7236x9292,North Central
C0110,Kayla Jackson,Female,49,ecarlson@gmail.com,(621)038-8629x1279,South South
C0111,Sherry Schmidt,Male,26,olsondavid@ryan.biz,650.863.7659x91624,South South
C0112,David Trevino,Female,29,ascott@hotmail.com,001-098-180-6356x5126,South West
C0113,Dawn Wyatt,Female,18,cheryl63@yahoo.com,+1-872-588-7449,South East
C0114,Michael Fitzgerald,Female,23,seanlyons@garcia.biz,890-260-1279x61143,North West
C0115,Lee Ramsey,Female,27,jennifer90@gmail.com,+1-770-384-3098x8392,South West
C0116,Heather Pena,Male,36,sheakimberly@caldwell-sullivan.com,011.848.9554x39376,North West
C0117,Debbie Russell,Female,18,gordonmatthew@pratt.net,001-476-973-5779,North West
C0118,Karen Scott,Female,58,ericahall@yahoo.com,(588)043-4165x18275,North West
C0119,Steven Adams,Female,50,pmclaughlin@allen.com,+1-521-117-9080x759,South East
C0120,Steven Ibarra,Male,58,wwhite@hotmail.com,639-208-6780x856,South West
C0121,Patty Bryant,Male,59,astewart@craig.org,559-428-4347,South East
C0122,Grace White,Male,31,robertgoodwin@yahoo.com,(472)929-3143x8663,South East
C0123,Tyler Hernandez,Female,62,roberttaylor@holmes.com,890-612-0347x175,North Central
C0124,Isaac Grant,Male,19,andrew15@hotmail.com,+1-399-824-5587x716,South South
C0125,Julie Frye,Male,48,robert99@sweeney-jones.com,355-449-6475x98762,South South
C0126,Alexander Luna,Female,47,clarkrandy@gmail.com,780-068-1149,South East
C0127,Matthew Mcclure,Male,19,johnmitchell@hotmail.com,(282)005-5778,North Central
C0128,Kimberly Taylor,Male,46,owelch@graham.com,831.745.6424x0082,South East
